Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Services, value added (annual % growth) [NV.SRV.TOTL.KD.ZG]","Manufacturing, value added (annual % growth) [NV.IND.MANF.KD.ZG]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Poland Base,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Adj YoY Ex Rate
1996,Czechia,4.289887594,2.116802694,0.22815179,3.866267098,8.444589367,2.506186338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051626977
1997,Czechia,-0.488660018,2.057079795,0.044224502,1.057218982,3.016062387,7.563891547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058806697
1998,Czechia,-0.298733211,5.507252026,0.186570298,0.544078934,1.808723489,9.638068306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001994896
1999,Czechia,1.481997834,9.624832321,0.137194818,3.045744123,6.091594723,5.171570643,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095050256
2000,Czechia,4.302739523,8.020953141,0.068641646,4.975789238,8.966985645,14.77835249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023687032
2001,Czechia,3.30462713,8.278685008,0.241689389,3.237899564,3.803946745,9.431929604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011224205
2002,Czechia,1.709469589,10.28547168,0.255903678,1.026120572,4.427515332,0.910499616,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06817251
2003,Czechia,3.330406374,2.012502749,0.207077042,3.514686305,0.802572661,8.82042375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11145207
2004,Czechia,4.704468201,5.346298314,2.066769016,3.221603944,9.1235218,29.67814787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008601884
2005,Czechia,6.227986282,10.00272913,1.530856725,4.786843145,14.79963234,18.15088052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017151374
